complaint_text,category
classroom 105 has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in main gate for two weeks",infrastructure
"students are affected because of broken lab benches at parking area, this keeps repeating.",infrastructure
please repair campus wifi dead zone in auditorium soon. request immediate action.,infrastructure
"please help, canteen has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in classroom 203 for two days, this keeps repeating.",infrastructure
students are affected because of lift not working at admin office. request immediate action.,infrastructure
"please help, please repair toilet door broken in canteen soon",infrastructure
"classroom 203 has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in admin office for two days. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at hostel block b",infrastructure
"please repair water seepage in walls in north corridor soon, this keeps repeating.",infrastructure
engineering block has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in hostel block b for two weeks",infrastructure
"students are affected because of broken lab benches at canteen, this keeps repeating.",infrastructure
please repair campus wifi dead zone in computer lab soon. request immediate action.,infrastructure
"please help, computer lab has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in hostel block b for three days, this keeps repeating.",infrastructure
students are affected because of lift not working at classroom 203. request immediate action.,infrastructure
"please help, please repair toilet door broken in science lab soon",infrastructure
"admin office has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in hostel block a for one month. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at classroom 105",infrastructure
"please repair water seepage in walls in main gate soon, this keeps repeating.",infrastructure
engineering block has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in classroom 203 for many days",infrastructure
"students are affected because of broken lab benches at computer lab, this keeps repeating.",infrastructure
please repair campus wifi dead zone in north corridor soon. request immediate action.,infrastructure
"please help, hostel block b has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in science lab for many days, this keeps repeating.",infrastructure
students are affected because of lift not working at main library. request immediate action.,infrastructure
"please help, please repair toilet door broken in science lab soon",infrastructure
"canteen has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in fee counter for one week. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at auditorium",infrastructure
"please repair water seepage in walls in classroom 203 soon, this keeps repeating.",infrastructure
classroom 203 has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in computer lab for two weeks",infrastructure
"students are affected because of broken lab benches at auditorium, this keeps repeating.",infrastructure
please repair campus wifi dead zone in hostel block a soon. request immediate action.,infrastructure
"please help, auditorium has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in hostel block a for one week, this keeps repeating.",infrastructure
students are affected because of lift not working at classroom 105. request immediate action.,infrastructure
"please help, please repair toilet door broken in main library soon",infrastructure
"parking area has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in auditorium for one week. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at north corridor",infrastructure
"please repair water seepage in walls in canteen soon, this keeps repeating.",infrastructure
parking area has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in computer lab for several weeks",infrastructure
"students are affected because of broken lab benches at computer lab, this keeps repeating.",infrastructure
please repair campus wifi dead zone in north corridor soon. request immediate action.,infrastructure
"please help, north corridor has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in main library for two weeks, this keeps repeating.",infrastructure
students are affected because of lift not working at main library. request immediate action.,infrastructure
"please help, please repair toilet door broken in science lab soon",infrastructure
"main library has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in north corridor for one month. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at science lab",infrastructure
"please repair water seepage in walls in auditorium soon, this keeps repeating.",infrastructure
fee counter has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in hostel block b for one week",infrastructure
"students are affected because of broken lab benches at auditorium, this keeps repeating.",infrastructure
please repair campus wifi dead zone in classroom 203 soon. request immediate action.,infrastructure
"please help, north corridor has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in computer lab for one week, this keeps repeating.",infrastructure
students are affected because of lift not working at hostel block b. request immediate action.,infrastructure
"please help, please repair toilet door broken in main gate soon",infrastructure
"main library has library air conditioning failure and needs maintenance, this keeps repeating.",infrastructure
there is poor ventilation in hostel block b for one week. request immediate action.,infrastructure
"please help, students are affected because of potholes on internal road at classroom 105",infrastructure
"please repair water seepage in walls in classroom 203 soon, this keeps repeating.",infrastructure
computer lab has unsafe staircase railing and needs maintenance. request immediate action.,infrastructure
"please help, there is collapsed false ceiling panel in hostel block a for three days",infrastructure
"students are affected because of broken lab benches at engineering block, this keeps repeating.",infrastructure
please repair campus wifi dead zone in auditorium soon. request immediate action.,infrastructure
"please help, canteen has broken classroom chairs and needs maintenance",infrastructure
"there is damaged ceiling tiles in hostel block a for many days, this keeps repeating.",infrastructure
students are affected because of lift not working at hostel block a. request immediate action.,infrastructure
"please help, please repair toilet door broken in main library soon",infrastructure
"please help, there is exam timetable clash in auditorium this semester",academic issue
"our class is facing attendance record error for three days, this keeps repeating.",academic issue
marks not updated in main gate is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in north corridor this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for two weeks. request immediate action.,academic issue
"please help, assignment grading inconsistency in auditorium is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in north corridor this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for many days",academic issue
"unfair invigilation complaint in main library is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in north corridor this semester",academic issue
"our class is facing attendance record error for one week, this keeps repeating.",academic issue
marks not updated in admin office is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in fee counter this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for one month. request immediate action.,academic issue
"please help, assignment grading inconsistency in admin office is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in fee counter this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for one month",academic issue
"unfair invigilation complaint in computer lab is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in computer lab this semester",academic issue
"our class is facing attendance record error for two weeks, this keeps repeating.",academic issue
marks not updated in main gate is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in science lab this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for many days. request immediate action.,academic issue
"please help, assignment grading inconsistency in science lab is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in science lab this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for many days",academic issue
"unfair invigilation complaint in main library is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in fee counter this semester",academic issue
"our class is facing attendance record error for three days, this keeps repeating.",academic issue
marks not updated in auditorium is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in computer lab this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for two days. request immediate action.,academic issue
"please help, assignment grading inconsistency in engineering block is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in computer lab this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for three days",academic issue
"unfair invigilation complaint in engineering block is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in admin office this semester",academic issue
"our class is facing attendance record error for two days, this keeps repeating.",academic issue
marks not updated in classroom 105 is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in engineering block this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for three days. request immediate action.,academic issue
"please help, assignment grading inconsistency in parking area is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in computer lab this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for one week",academic issue
"unfair invigilation complaint in auditorium is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in classroom 105 this semester",academic issue
"our class is facing attendance record error for two days, this keeps repeating.",academic issue
marks not updated in main library is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in classroom 105 this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for many days. request immediate action.,academic issue
"please help, assignment grading inconsistency in auditorium is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in auditorium this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for one week",academic issue
"unfair invigilation complaint in fee counter is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in classroom 105 this semester",academic issue
"our class is facing attendance record error for two days, this keeps repeating.",academic issue
marks not updated in classroom 105 is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in computer lab this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for two days. request immediate action.,academic issue
"please help, assignment grading inconsistency in hostel block b is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in fee counter this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for three days",academic issue
"unfair invigilation complaint in fee counter is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in classroom 105 this semester",academic issue
"our class is facing attendance record error for one week, this keeps repeating.",academic issue
marks not updated in admin office is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"there is syllabus not completed in admin office this semester, this keeps repeating.",academic issue
our class is facing no faculty replacement for one week. request immediate action.,academic issue
"please help, assignment grading inconsistency in engineering block is affecting academic progress",academic issue
"please resolve lab slots unavailable in the academic system, this keeps repeating.",academic issue
there is practical exam delay in main gate this semester. request immediate action.,academic issue
"please help, our class is facing project review not scheduled for several weeks",academic issue
"unfair invigilation complaint in main gate is affecting academic progress, this keeps repeating.",academic issue
please resolve portal not allowing submission in the academic system. request immediate action.,academic issue
"please help, there is exam timetable clash in fee counter this semester",academic issue
"our class is facing attendance record error for three days, this keeps repeating.",academic issue
marks not updated in science lab is affecting academic progress. request immediate action.,academic issue
"please help, please resolve course registration bug in the academic system",academic issue
"please help, i have a bus schedule confusion regarding auditorium",other
"please look into canteen menu complaint for canteen, this keeps repeating.",other
parking permit delay has caused inconvenience for many days. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in classroom 203",other
"i have a lost and found support needed regarding classroom 203, this keeps repeating.",other
please look into guest pass process issue for hostel block b. request immediate action.,other
"please help, event management noise concern has caused inconvenience for two days",other
"this is a general complaint about sports facility timing request in parking area, this keeps repeating.",other
i have a website login slowdown regarding engineering block. request immediate action.,other
"please help, please look into mobile app glitch report for hostel block a",other
"request for additional seating has caused inconvenience for two days, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in canteen. request immediate action.,other
"please help, i have a bus schedule confusion regarding engineering block",other
"please look into canteen menu complaint for fee counter, this keeps repeating.",other
parking permit delay has caused inconvenience for one week. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in admin office",other
"i have a lost and found support needed regarding hostel block a, this keeps repeating.",other
please look into guest pass process issue for classroom 105. request immediate action.,other
"please help, event management noise concern has caused inconvenience for three days",other
"this is a general complaint about sports facility timing request in canteen, this keeps repeating.",other
i have a website login slowdown regarding hostel block a. request immediate action.,other
"please help, please look into mobile app glitch report for computer lab",other
"request for additional seating has caused inconvenience for many days, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in hostel block b. request immediate action.,other
"please help, i have a bus schedule confusion regarding parking area",other
"please look into canteen menu complaint for engineering block, this keeps repeating.",other
parking permit delay has caused inconvenience for many days. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in parking area",other
"i have a lost and found support needed regarding classroom 203, this keeps repeating.",other
please look into guest pass process issue for auditorium. request immediate action.,other
"please help, event management noise concern has caused inconvenience for several weeks",other
"this is a general complaint about sports facility timing request in north corridor, this keeps repeating.",other
i have a website login slowdown regarding computer lab. request immediate action.,other
"please help, please look into mobile app glitch report for parking area",other
"request for additional seating has caused inconvenience for three days, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in classroom 105. request immediate action.,other
"please help, i have a bus schedule confusion regarding science lab",other
"please look into canteen menu complaint for north corridor, this keeps repeating.",other
parking permit delay has caused inconvenience for one week. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in canteen",other
"i have a lost and found support needed regarding hostel block a, this keeps repeating.",other
please look into guest pass process issue for science lab. request immediate action.,other
"please help, event management noise concern has caused inconvenience for two weeks",other
"this is a general complaint about sports facility timing request in hostel block a, this keeps repeating.",other
i have a website login slowdown regarding classroom 203. request immediate action.,other
"please help, please look into mobile app glitch report for engineering block",other
"request for additional seating has caused inconvenience for two days, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in north corridor. request immediate action.,other
"please help, i have a bus schedule confusion regarding auditorium",other
"please look into canteen menu complaint for canteen, this keeps repeating.",other
parking permit delay has caused inconvenience for several weeks. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in admin office",other
"i have a lost and found support needed regarding fee counter, this keeps repeating.",other
please look into guest pass process issue for parking area. request immediate action.,other
"please help, event management noise concern has caused inconvenience for two days",other
"this is a general complaint about sports facility timing request in hostel block b, this keeps repeating.",other
i have a website login slowdown regarding parking area. request immediate action.,other
"please help, please look into mobile app glitch report for classroom 203",other
"request for additional seating has caused inconvenience for two weeks, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in parking area. request immediate action.,other
"please help, i have a bus schedule confusion regarding classroom 203",other
"please look into canteen menu complaint for engineering block, this keeps repeating.",other
parking permit delay has caused inconvenience for two weeks. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in main library",other
"i have a lost and found support needed regarding canteen, this keeps repeating.",other
please look into guest pass process issue for engineering block. request immediate action.,other
"please help, event management noise concern has caused inconvenience for one week",other
"this is a general complaint about sports facility timing request in north corridor, this keeps repeating.",other
i have a website login slowdown regarding canteen. request immediate action.,other
"please help, please look into mobile app glitch report for computer lab",other
"request for additional seating has caused inconvenience for two days, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in admin office. request immediate action.,other
"please help, i have a bus schedule confusion regarding auditorium",other
"please look into canteen menu complaint for main gate, this keeps repeating.",other
parking permit delay has caused inconvenience for several weeks. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in science lab",other
"i have a lost and found support needed regarding science lab, this keeps repeating.",other
please look into guest pass process issue for north corridor. request immediate action.,other
"please help, event management noise concern has caused inconvenience for one month",other
"this is a general complaint about sports facility timing request in north corridor, this keeps repeating.",other
i have a website login slowdown regarding admin office. request immediate action.,other
"please help, please look into mobile app glitch report for classroom 203",other
"request for additional seating has caused inconvenience for several weeks, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in engineering block. request immediate action.,other
"please help, i have a bus schedule confusion regarding fee counter",other
"please look into canteen menu complaint for classroom 105, this keeps repeating.",other
parking permit delay has caused inconvenience for several weeks. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in north corridor",other
"i have a lost and found support needed regarding main gate, this keeps repeating.",other
please look into guest pass process issue for classroom 203. request immediate action.,other
"please help, event management noise concern has caused inconvenience for one month",other
"this is a general complaint about sports facility timing request in hostel block b, this keeps repeating.",other
i have a website login slowdown regarding main library. request immediate action.,other
"please help, please look into mobile app glitch report for main library",other
"request for additional seating has caused inconvenience for one month, this keeps repeating.",other
this is a general complaint about suggestion for cleaner notice board in science lab. request immediate action.,other
"please help, i have a bus schedule confusion regarding north corridor",other
"please look into canteen menu complaint for classroom 203, this keeps repeating.",other
parking permit delay has caused inconvenience for one month. request immediate action.,other
"please help, this is a general complaint about id card replacement delay in engineering block",other
some senior is harassing a junior on 5th floor,harassment
a senior is harassing ragging a student in hostel block,harassment
senior students are bullying juniors every night,harassment
my friend was threatened and abused by a senior,harassment
there is ragging happening on the fifth floor corridor,harassment
a senior made inappropriate comments and i feel unsafe,harassment
violence and intimidation by seniors against freshers,harassment
stalking and harassment near the girls hostel,harassment
senior misconduct during induction week needs action,harassment
discrimination and verbal abuse in classroom,harassment
physical assault reported between senior and junior,harassment
senior is harassing junior student please help urgently,harassment
bullying and ragging incident on floor five,harassment
threatening messages from senior batch students,harassment
unsafe environment due to senior harassment,harassment
